法语,词性,语法,英语陷阱词,实际意思,英文释义,正确说法,例句,例句中文,词音频,句音频
actuellement,副词,语法由 actuel + -ment 构成,actually,目前、现在,"currently, at the moment",en fait / en réalité,"Je suis actuellement en réunion, je te rappelle.",我现在正在开会，回头打给你。,[sound:fr-4d75dc4accca6c.mp3],[sound:fr-f5ea24de8dddbe.mp3]
actuel / actuelle,形容词,语法阴性 actuelle · 复数 actuels / actuelles · 一般后置,actual,当前的、现今的,"current, present-day",réel / véritable,La situation actuelle est très différente.,当前的情况非常不同。,[sound:fr-75d6f5903ef305.mp3],[sound:fr-dc6a8e0634964d.mp3]
éventuellement,副词,语法由 éventuel + -ment 构成,eventually,可能、也许（不确定）,"possibly, if need be",finalement / à la fin,"Je pourrais éventuellement venir, mais ce n'est pas sûr.",我也许能来，但不确定。,[sound:fr-a0dea2c2076c8b.mp3],[sound:fr-065b9ac38b481c.mp3]
sensible,形容词,语法阴阳性同形 · 复数 sensibles,sensible,敏感的、易受影响的,sensitive,raisonnable / sensé,"C'est un sujet très sensible, sois prudent.",这是个非常敏感的话题，小心点。,[sound:fr-b6e38177e45f60.mp3],[sound:fr-d2532b238955a1.mp3]
une librairie,名词 · 阴性 ♀,语法复数 des librairies · 书商 un(e) libraire,library,书店,"bookshop, bookstore",une bibliothèque,J'ai acheté ce roman dans une petite librairie.,我在一家小书店买了这本小说。,[sound:fr-bde7f014d4c4e5.mp3],[sound:fr-eb6684ca5063b4.mp3]
une journée,名词 · 阴性 ♀,语法复数 des journées · 对比 un jour（日子/单位），journée 强调「一整天的时段」,journey,一天（作为时段）,day (as a span of time),un voyage / un trajet,J'ai travaillé toute la journée.,我工作了一整天。,[sound:fr-d9511f53442f6b.mp3],[sound:fr-b43b2f6f8a5da0.mp3]
assister à,动词,语法第1组 -er · 助动词 avoir · p.p. assisté · 必须带介词 à,assist,出席、参加,to attend (an event),aider,J'ai assisté à la conférence hier.,我昨天出席了那场讲座。,[sound:fr-bb9c2a4db5f3c7.mp3],[sound:fr-d102d37ab70910.mp3]
attendre,动词,"语法第3组 · 助动词 avoir · p.p. attendu · j'attends, nous attendons · 直接及物，不加介词",attend,等待,to wait (for),assister à,Je t'attends depuis une heure.,我等你一个小时了。,[sound:fr-99d2765ebddb9b.mp3],[sound:fr-9909388b72bbd0.mp3]
demander,动词,语法第1组 -er · 助动词 avoir · p.p. demandé · demander qch à qn,demand,询问、请求（语气中性！）,to ask (for) — neutral in tone,exiger,Il m'a demandé mon avis.,他问了我的意见。,[sound:fr-d0dbce7676f326.mp3],[sound:fr-5a0017cdc2eb2c.mp3]
rester,动词,语法第1组 -er · 助动词 être · p.p. resté(e)(s) · je suis resté(e),rest,停留、留下、剩下,"to stay, to remain, to be left",se reposer,Il ne reste plus de pain.,已经没有面包了。,[sound:fr-f597c3f42c0ed8.mp3],[sound:fr-cd89ac3b602c65.mp3]
prétendre,动词,"语法第3组 · 助动词 avoir · p.p. prétendu · je prétends, nous prétendons",pretend,声称、断言,"to claim, to assert",faire semblant (de),Il prétend avoir tout compris.,他声称自己全都懂了。,[sound:fr-26bab3c7453c13.mp3],[sound:fr-7fdbe276c3545d.mp3]
supporter,动词,语法第1组 -er · 助动词 avoir · p.p. supporté,support,忍受、承受,"to bear, to put up with",soutenir / appuyer,Je ne supporte pas le bruit.,我受不了噪音。,[sound:fr-3d6bc6ba6b6e94.mp3],[sound:fr-2b5ae12c056336.mp3]
passer un examen,惯用表达,语法passer 第1组 · 助动词 avoir（此义）· 通过考试 = réussir un examen,to pass an exam,参加考试（不是通过！）,to take / sit an exam (NOT to pass),réussir un examen,"Je passe mon examen lundi, j'espère le réussir.",我周一参加考试，希望能通过。,[sound:fr-360704cc25404a.mp3],[sound:fr-0f4284cdf37db2.mp3]
une déception,名词 · 阴性 ♀,语法复数 des déceptions · 动词 décevoir,deception,失望,disappointment,une tromperie,Ce film a été une vraie déception.,这部电影真让人失望。,[sound:fr-33cfb8f5d7eb92.mp3],[sound:fr-369c83733087d5.mp3]
décevoir,动词,"语法第3组 · 助动词 avoir · p.p. déçu · je déçois, nous décevons",to deceive,使失望,to disappoint,tromper,Je ne veux pas te décevoir.,我不想让你失望。,[sound:fr-9e15175b96771d.mp3],[sound:fr-e0b2bd838c3c75.mp3]
sympathique,形容词,语法阴阳性同形 · 复数 sympathiques · 口语缩略 sympa（不分阴阳性，复数 sympas）,sympathetic,亲切的、讨人喜欢的,"nice, likeable",compatissant,Ta collègue est vraiment sympathique.,你同事人真好。,[sound:fr-dd86efc73859c4.mp3],[sound:fr-744e5f0624ce9a.mp3]
une lecture,名词 · 阴性 ♀,语法复数 des lectures · 动词 lire,lecture,阅读、读物,reading,un cours / une conférence,La lecture est mon passe-temps préféré.,阅读是我最喜欢的消遣。,[sound:fr-bcb321c21857bb.mp3],[sound:fr-5ca56e700b207b.mp3]
la location,名词 · 阴性 ♀,语法复数 des locations · 动词 louer（出租／租用）,location,出租、租赁,"renting, rental",un emplacement / un lieu,La location de l'appartement coûte 800 euros.,这套公寓的租金是 800 欧元。,[sound:fr-60ee179f2cf69d.mp3],[sound:fr-27b20e30edd81c.mp3]
un stage,名词 · 阳性 ♂,语法复数 des stages · 实习生 un(e) stagiaire,stage,实习,"internship, training placement",une scène（舞台）／ une étape（阶段）,Elle fait un stage de six mois à Paris.,她在巴黎实习六个月。,[sound:fr-0e9c2f26ca0b62.mp3],[sound:fr-28eeeb68afbca6.mp3]
un collège,名词 · 阳性 ♂,语法复数 des collèges · 法国学制：collège 初中(11–15岁) → lycée 高中 → université 大学,college,初中,secondary / middle school,l'université,Mon fils entre au collège cette année.,我儿子今年上初中。,[sound:fr-4c4602d5d443e2.mp3],[sound:fr-9aa0b94af867c7.mp3]
une licence,名词 · 阴性 ♀,语法复数 des licences · 法国学位：licence 学士 → master 硕士 → doctorat 博士,licence / license,学士学位,bachelor's degree,un permis,Il a une licence de droit.,他有法学学士学位。,[sound:fr-f5cd1cd54dc7fc.mp3],[sound:fr-5355d37b968e79.mp3]
